39,blue-collar,married,primary,0,830,1,0,NA,2,-1,0,NA,0,246
41,services,single,tertiary,0,285,1,1,NA,1,-1,0,NA,0,135
48,management,divorced,tertiary,0,-130,1,0,cellular,2,61,9,failure,0,110
28,student,single,secondary,0,2351,0,0,telephone,1,-1,0,NA,1,157
44,management,married,secondary,0,11972,0,0,NA,1,-1,0,NA,0,127
43,admin.,divorced,secondary,0,3350,1,1,NA,1,-1,0,NA,0,488
42,admin.,divorced,secondary,0,527,0,1,cellular,1,185,1,success,1,181
34,blue-collar,married,primary,0,3868,1,0,cellular,1,350,1,failure,0,134
46,blue-collar,married,secondary,0,640,1,0,cellular,1,182,4,success,1,215
33,management,married,tertiary,0,812,0,0,cellular,1,-1,0,NA,0,396
43,services,married,secondary,0,2145,0,0,cellular,2,95,4,success,1,291
34,blue-collar,single,secondary,0,550,1,0,cellular,3,346,1,failure,0,90
35,management,married,tertiary,0,656,1,1,cellular,4,-1,0,NA,0,83
34,admin.,single,secondary,0,151,1,0,cellular,1,370,1,other,1,590
32,technician,single,tertiary,0,1855,0,0,cellular,2,134,1,other,1,126
40,blue-collar,divorced,secondary,0,-426,0,1,NA,1,-1,0,NA,0,245
33,blue-collar,single,primary,0,785,1,0,cellular,1,-1,0,NA,0,139
34,admin.,single,secondary,0,10,0,1,NA,3,-1,0,NA,0,310
46,technician,married,secondary,0,-408,1,1,telephone,4,286,1,other,0,138
38,management,married,tertiary,0,4293,1,0,cellular,2,250,2,failure,0,92
41,admin.,married,secondary,0,549,1,0,cellular,4,-1,0,NA,0,326
53,technician,married,secondary,0,284,0,0,cellular,1,-1,0,NA,1,781
31,management,single,tertiary,0,825,1,0,NA,2,-1,0,NA,1,506
22,student,single,secondary,0,120,0,0,cellular,5,-1,0,NA,0,245
26,admin.,single,secondary,0,1099,0,0,cellular,2,225,13,other,0,99
41,technician,married,secondary,0,352,1,0,cellular,2,-1,0,NA,0,129
49,technician,divorced,tertiary,0,596,1,0,telephone,1,-1,0,NA,1,722
37,management,divorced,tertiary,0,168,1,0,NA,1,-1,0,NA,0,227
32,technician,single,tertiary,0,6746,0,0,cellular,1,-1,0,NA,1,199
27,admin.,single,secondary,0,557,1,0,cellular,2,-1,0,NA,0,466
45,admin.,divorced,secondary,0,-176,0,1,cellular,1,-1,0,NA,1,574
42,management,married,tertiary,0,157,1,1,cellular,1,-1,0,NA,0,136
46,admin.,divorced,secondary,0,660,1,0,cellular,1,259,2,failure,0,1026
